evaluation,dataset_scope,stage,component,component_label,n_epochs,mean,sd,q10,median,q90,fraction_above_0p90
training_nested_subject_group_oof,Kumral,N2,f_old_return_prominence,old single-P correction,28,0.48766634119421415,0.40030943303847294,0.0011249596181425656,0.5084209177497123,0.9953933251365327,0.2857142857142857
training_nested_subject_group_oof,Kumral,N2,f_repeat_micro_v3,fixed R^* micro-correction,28,0.5134203653852498,0.3938458929711859,0.014917765258680849,0.5510370634848916,0.9797972763342436,0.2857142857142857
training_nested_subject_group_oof,Kumral,N3,f_self_similarity,pure F_S,6,0.31873757389733604,0.38279084657875373,8.487715361684351e-05,0.1754644133514334,0.7806634311869579,0.0
training_nested_subject_group_oof,Kumral,N3,f_old_return_prominence,old single-P correction,6,0.24831485050799387,0.307173235668588,4.443373808927097e-06,0.11980743730570476,0.625132670844468,0.0
training_nested_subject_group_oof,Kumral,N3,f_repeat_micro_v3,fixed R^* micro-correction,6,0.2998512483390389,0.3619678766467661,7.545207605206399e-05,0.16120399767624577,0.7382742952648189,0.0
training_nested_subject_group_oof,Kumral,REM,f_self_similarity,pure F_S,6,0.6644786090441278,0.4075215550085567,0.15363736313016013,0.8752727733359461,0.9645256906662771,0.5
training_nested_subject_group_oof,Kumral,REM,f_old_return_prominence,old single-P correction,6,0.5887855570078419,0.4166779615250301,0.0642113420333632,0.7705702737985485,0.931575055191614,0.16666666666666666
training_nested_subject_group_oof,Kumral,REM,f_repeat_micro_v3,fixed R^* micro-correction,6,0.6471843384609645,0.40383313917513486,0.14032962664629012,0.8458250352012917,0.9553983535353117,0.3333333333333333
repeated_held_aside_diagnostic_test,pooled,W,f_self_similarity,pure F_S,35,0.7847394810038274,0.36262698674240174,0.0532233882571487,0.9931672344271034,0.9999997905220516,0.6571428571428571
repeated_held_aside_diagnostic_test,pooled,W,f_old_return_prominence,old single-P correction,35,0.7503917739153345,0.39699920985378173,0.009697881011260203,0.9990062880831166,0.9999999999999316,0.6285714285714286
repeated_held_aside_diagnostic_test,pooled,W,f_repeat_micro_v3,fixed R^* micro-correction,35,0.7773116349373644,0.3694735100103408,0.0488124618749423,0.9922458056481459,0.9999998368583968,0.6571428571428571
repeated_held_aside_diagnostic_test,pooled,N1,f_self_similarity,pure F_S,29,0.6729097369513315,0.3468703100086529,0.11967572997018337,0.8290271954728605,0.993733113245313,0.3103448275862069
repeated_held_aside_diagnostic_test,pooled,N1,f_old_return_prominence,old single-P correction,29,0.6126844598320033,0.38591046706865917,0.023968490963052473,0.6954460025873441,0.9984493258649355,0.3793103448275862
repeated_held_aside_diagnostic_test,pooled,N1,f_repeat_micro_v3,fixed R^* micro-correction,29,0.662693589996022,0.35308769346019925,0.10927434093019929,0.8339502957370442,0.9919858885861176,0.3103448275862069
repeated_held_aside_diagnostic_test,pooled,N2,f_self_similarity,pure F_S,50,0.5244046052292123,0.37468839147770544,0.04441637926229522,0.5448201627776805,0.9801282663779276,0.24
repeated_held_aside_diagnostic_test,pooled,N2,f_old_return_prominence,old single-P correction,50,0.4630290827275642,0.379901797951955,0.0038008078630109724,0.4273880161303819,0.9871505961213618,0.24
repeated_held_aside_diagnostic_test,pooled,N2,f_repeat_micro_v3,fixed R^* micro-correction,50,0.5061687888216584,0.37371052967274787,0.03883389658000119,0.48472595369915156,0.975223387824404,0.24
repeated_held_aside_diagnostic_test,pooled,N3,f_self_similarity,pure F_S,5,0.08136730825603064,0.12106953171345337,0.008252318733550548,0.04150923720177322,0.19849022117431517,0.0
repeated_held_aside_diagnostic_test,pooled,N3,f_old_return_prominence,old single-P correction,5,0.03631551477317224,0.04114454162290075,0.004466236243650919,0.010758387493761096,0.08240461061725662,0.0
